num,patch,mag,magerr,elongation_norm,fwhm_norm,significance_abs,residual,psffit_sigma_ratio,psffit_peak_ratio,frac_det,density,density_good,bapsf,psf,score
365,3_8,26.995258,1.807129,0.772194,0.521711,2.573994,1.303804,2.798455,2.192128,0.622222,1,1,0.921574,3.947787,0
366,3_8,25.106434,0.222367,0.579587,1.072292,4.242233,1.061053,1.010931,0.674340,0.755556,0,0,0.913070,3.958626,0
367,3_8,26.480147,0.791218,0.469650,0.791001,4.473880,0.985591,1.024102,1.397380,0.622222,0,0,0.901030,3.957339,0
368,3_8,25.407212,0.271321,0.458410,0.593419,4.781021,1.087968,0.925843,1.588947,0.600000,2,1,0.923779,3.941992,0
369,3_8,26.307552,0.625450,0.955542,0.985793,4.094659,0.924198,0.946288,0.864243,0.733333,0,0,0.920106,3.950755,0
370,3_8,26.088505,0.532184,0.503403,0.858984,4.366519,0.958423,0.940841,1.455028,0.711111,1,1,0.901465,3.937684,0
371,3_8,26.204434,0.595061,0.482927,0.794060,4.457897,1.016200,1.113916,1.250606,0.711111,0,0,0.924654,3.943380,0
372,3_8,25.578037,0.324439,0.522277,0.959838,4.651540,1.021463,0.879261,1.411805,0.733333,0,0,0.926615,3.939786,0
373,3_8,25.404177,0.274160,0.606748,1.357517,4.580610,0.988575,1.042823,0.852049,0.844444,2,2,0.917078,3.949428,0
374,3_8,25.787870,0.400306,0.550544,0.759432,5.932454,1.024870,1.027526,1.605693,0.688889,1,0,0.902221,3.945742,0
375,3_8,26.713609,0.951621,0.605309,0.907268,4.098219,0.896061,0.982966,0.982863,0.733333,0,0,0.912013,3.947796,0
376,3_8,26.494399,0.770654,0.431335,0.792444,4.599400,1.010111,0.882192,1.419811,0.622222,3,2,0.899325,3.938902,0
377,3_8,25.844829,0.413708,0.567802,0.786340,4.413830,1.062559,1.028367,0.825865,0.755556,0,0,0.931555,3.926523,0
378,3_8,25.069819,0.206722,0.443147,1.522609,5.117574,0.742044,1.073655,0.554340,0.822222,1,1,0.895497,3.933979,0
379,3_8,26.541991,0.782179,0.810988,0.932153,4.295396,0.990193,0.894737,0.692143,0.822222,1,1,0.919891,3.944530,0
380,3_8,25.285904,0.259964,0.447894,1.473981,4.652333,1.065406,0.956873,1.368242,0.711111,1,1,0.896325,3.933520,0
381,3_8,26.532163,0.817911,0.841831,1.061052,3.951222,0.954459,1.184062,-0.065847,0.777778,1,1,0.920355,3.943481,0
382,3_8,26.128288,0.555208,0.763921,0.804936,4.061382,1.010984,0.999444,0.821045,0.622222,2,1,0.906526,3.927685,0
383,3_8,25.699433,0.368551,0.575044,0.994975,4.316671,1.006524,1.137667,0.901405,0.733333,0,0,0.916265,3.942258,0
384,3_8,23.864932,0.155024,0.906459,1.860401,4.716462,1.118410,1.344441,0.411922,0.800000,1,1,0.910742,3.939054,0
385,3_8,25.724313,0.378966,0.831249,0.912044,4.668398,1.038381,0.804720,0.930895,0.800000,0,0,0.914026,3.927636,0
386,3_8,24.878483,0.212518,1.052773,1.864045,2.817084,1.089378,0.778207,2.379060,0.777778,1,1,0.911222,3.938775,0
387,3_8,25.427692,0.275768,0.403825,1.198365,4.960365,1.069883,0.917742,0.917606,0.777778,0,0,0.918428,3.941068,0
